Renner,€,T,Team,OML,KBK,SAM,STR,NOK,BKC,MSR,RVB,E3,IFF,DDV,RVV,SP,PR,RVL,BR P,AGR,WA P,LBL,Tot Ptn,Ptn/M,#races '26,Opsomming races,Specialiteit,Level
ERMAKOV Roman,2,BAH,Bahrain - Victorious,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
KEPPLINGER Rainer,2,BAH,Bahrain - Victorious,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
PAASSCHENS Mathijs,2,BAH,Bahrain - Victorious,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
SKERL Daniel,2,BAH,Bahrain - Victorious,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
STOCKWELL Oliver,2,BAH,Bahrain - Victorious,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
VAN DER MEULEN Max,2,BAH,Bahrain - Victorious,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
ZANONCELLO Enrico,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
MAGLI Filippo,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
TOLIO Alex,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
TSVETKOV Nikita,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
COLNAGHI Luca,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
Turconi Filippo,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,,PT
CETTOLIN Filippo,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
CONFORTI Lorenzo,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
COVILI Luca,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
CRUZ Edward,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
FERRARO Santiago,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
HERREÑO Martin Santiago,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
MANENTI Marco,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
MARTINELLI Alessio,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
Montagner Andrea,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,,WT
PALETTI Luca,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
PINAZZI Mattia,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
ROJAS Vicente,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
ROSTOVTSEV Sergey,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
Stenico Mattia,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,,WT
TAROZZI Manuele,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
TURCONI Matteo,2,BAR,Bardiani CSF 7 Saber,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
HERRADA Jesús,3,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
QUARTUCCI Lorenzo,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
DÍAZ José Manuel,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
CHUMIL Sergio Geovani,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
KUDUS Merhawi,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
MAYER Alexandre,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,CT
SAINBAYAR Jambaljamts,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
APARICIO Mario,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
BOUGLAS Georgios,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
BURNETT Josh,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
Fajardo Adrián,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
FAURA José Luis,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
FERNÁNDEZ Sinuhé,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
GARCÍA PIERNA Carlos,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
KOYAMA Tomoya,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
OKAMIKA Ander,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
REY Martín,2,BUR,Burgos Burpellet BH,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
GAVIRIA Fernando,4,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
BARCELÓ Fernando,3,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
PRADES Eduard,3,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
OLDANI Stefano,3,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
LEITÃO Iúri,3,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
BALDERSTONE Abel,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
MOLENAAR Alex,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
CASTELLON Jan,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
PARRA José Félix,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
NICOLAU Joel,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
GUARDEÑO Jaume,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
ARRIOLABENGOA Julen,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
BERWICK Sebastian,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
BOU Joan,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
CORRES Gorka,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
DARDER Sergi,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
DÍAZ Alex,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
FERNÁNDEZ Samuel,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
IBÁÑEZ Javier,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
Larronde Ellande,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
LÓPEZ Joseba,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
Lospitao Pablo,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
OTRUBA Jakub,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
PEÑUELA Francisco Joel,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
SORARRAIN Gorka,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
VILLAR Iker,2,CAJ,Caja Rural - Seguros RGA,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
BUCHMANN Emanuel,3,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
KNIGHT Oliver,3,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
MONIQUET Sylvain,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
MAISONOBE Sam,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
ROULAND Louis,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
CARR Simon,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
CHARRET Camille,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
DEBEAUMARCHÉ Nicolas,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
FERRON Valentin,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
JOALLAND Yaël,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
MEEHAN Jamie,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
OURSELIN Paul,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
ROBEET Ludovic,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
SAMITIER Sergio,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
TOUZÉ Damien,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
ZAMPERINI Edoardo,2,COF,Cofidis,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
KOOIJ Olav,6,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
GALL Felix,5,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
RICCITELLO Matthew,4,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
GAUTHERAT Pierre,3,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
BISIAUX Léo,3,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
STAUNE-MITTET Johannes,3,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
GUDMESTAD Tord,3,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
SCOTSON Callum,2,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
ISIDORE Noa,2,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
L'HOTE Antoine,2,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
POLLEFLIET Gianluca,2,DEC,Decathlon CMA CGM Team,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
CARAPAZ Richard,6,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
MIHKELS Madis,4,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
SWEENY Harry,3,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
RYAN Archie,3,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
NERURKAR Lukas,3,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
STEINHAUSER Georg,3,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
CEPEDA Jefferson Alexander,3,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
BATTISTELLA Samuele,3,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
QUINN Sean,3,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
SHAW James,2,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
LEONARD Michael,2,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
BELOKI Markel,2,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
MACKELLAR Alastair,2,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
RAFFERTY Darren,2,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,WT
SCHWARZBACHER Matthias,2,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
VAN DER LEE Jardi Christiaan,2,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
WALKER Max,2,EFE,EF Education - EasyPost,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,WT
SOSA Iván Ramiro,3,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
COBO Iván,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
BERRADE Urko,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
IRIBAR Unai,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
RUIZ Ibon,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
AZANZA Ibai,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
AZNAR Hugo,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
BRUSTENGA Marc,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
CARRASCOSA Pablo,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
ELOSEGUI Iñigo,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
GIMENO Nil,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
Gomez Iker,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,,WT
GUTIÉRREZ Jorge,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
HO Yen Yi,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
MARTÍN José María,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
PÉREZ César,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
Ramos Unai,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,,WT
RETEGI Mikel,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
SOTO Antonio Jesús,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
URIARTE Diego,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
WENZEL Mats,2,KER,Equipo Kern Pharma,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
BERASATEGI Xabier,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
AGIRRE Jon,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
VAN DER TUUK Axel,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
JUARISTI Txomin,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
AGUIRRE Yago,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
ALUSTIZA Nicolás,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
AZNAR Unai,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,WT
BIZKARRA Mikel,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
Fernandez Heres Samuel,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
GANZABAL Ander,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
HENNEQUIN Paul,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
ISASA Xabier,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
LASTRA Jonathan,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
LÓPEZ Jordi,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
MARTÍN Gotzon,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
MINTEGI Iker,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
MURGUIALDAY Jokin,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
SUTTON Louis,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
Ugarte Gari,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
VAN DER TUUK Danny,2,EUS,Euskaltel - Euskadi,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
MARTIN Guillaume,4,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
GAUDU David,4,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
BERTHET Clément,3,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
MOLARD Rudy,3,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,PT
ROCHAS Rémy,3,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
CAVAGNA Rémi,3,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
PACHER Quentin,3,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
DECOMBLE Maxime,2,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,WT
BRAZ AFONSO Clément,2,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
GENIETS Kevin,2,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
BOWER Lewis,2,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
DONNENWIRTH Tom,2,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
KENCH Josh,2,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
LE GAC Olivier,2,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
PALENI Enzo,2,FDJ,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
ONLEY Oscar,5,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
VAUQUELIN Kévin,5,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
ARENSMAN Thymen,4,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
TARLING Joshua,4,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
RODRÍGUEZ Carlos,4,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
WELSFORD Sam,4,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
SVESTAD-BÅRDSENG Embret,3,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
DE PLUS Laurens,3,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
FOSS Tobias,3,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
RIVERA Brandon Smith,3,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
JUNGELS Bob,3,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,PT
HAIG Jack,3,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
SWIFT Connor,3,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
AUGUST Andrew,2,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
HAMILTON Lucas,2,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
ØXENBERG Peter,2,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
RODRÍGUEZ Óscar,2,INE,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
GEE-WEST Derek,5,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
GEOGHEGAN HART Tao,4,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
BAGIOLI Andrea,3,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
SOBRERO Matteo,3,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,TT,WT
VERONA Carlos,3,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
KÄMNA Lennard,3,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
KONRAD Patrick,3,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Climber,WT
CONSONNI Simone,3,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
WALSCHEID Max,3,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
BERNARD Julien,2,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
GHEBREIGZABHIER Amanuel,2,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,PT
MOSCA Jacopo,2,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,PT
OOMEN Sam,2,LIDL,Lidl - Trek,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
RUTSCH Jonas,3,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
ROTA Lorenzo,3,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
TAMINIAUX Lionel,3,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,PT
VAN DER HOORN Taco,3,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Oneday,WT
CRAPS Lars,2,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
FOX Matthew,2,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
GIDDINGS Joshua,2,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
GRISEL Matys,2,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,WT
KOCKELMANN Mathieu,2,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Hills,WT
ORINS Robin,2,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,Sprint,PT
ØRN-KRISTOFF Felix,2,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
SLOCK Liam,2,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
THOMPSON Reuben,2,LOT,Lotto Intermarché,,,,,,,,,,,,,,,,,,,,0,"0,0",0,,GC,WT
