Renner,€,T,Team,OML,KBK,SAM,STR,NOK,BKC,MSR,RVB,E3,IFF,DDV,RVV,SP,PR,RVL,BR P,AGR,WA P,LBL,Tot Ptn,Ptn/M,#races '26,Opsomming races,Specialiteit,Level
DE SCHUYTENEER Steffen,3,LOT,Lotto Intermarché,,X,X,,X,X,,,,,,,X,,,,,,,0,"0,0",5,"KBK, SAM, NOK, BKC, SP",Sprint,WT
VAN POPPEL Danny,4,RBBH,Red Bull - BORA - hansgrohe,X,X,,,,,X,,,X,,,,,,,X,,,0,"0,0",5,"OML, KBK, MSR, IFF, AGR",Sprint,WT
TRATNIK Jan,4,RBBH,Red Bull - BORA - hansgrohe,,,,,,,,,X,,X,X,,,,,X,,X,0,"0,0",5,"E3, DDV, RVV, AGR, LBL",TT,PT
VAN DIJKE Mick,3,RBBH,Red Bull - BORA - hansgrohe,X,X,,,,,,,,,X,X,,X,,,,,,0,"0,0",5,"OML, KBK, DDV, RVV, PR",GC,CT
VAN DIJKE Tim,3,RBBH,Red Bull - BORA - hansgrohe,X,X,,,,,X,,,,,X,,X,,,,,,0,"0,0",5,"OML, KBK, MSR, RVV, PR",TT,PT
MAGNIER Paul,7,SQS,Soudal - Quick Step,X,X,,,,,X,,,,X,X,,,,,,,,0,"0,0",5,"OML, KBK, MSR, DDV, RVV",Oneday,WT
LAMPAERT Yves,3,SQS,Soudal - Quick Step,X,,,,,,,,,X,X,X,,X,,,,,,0,"0,0",5,"OML, IFF, DDV, RVV, PR",Oneday,WT
SCHMID Mauro,4,JAY,Team Jayco AlUla,,,,,,,X,,,,,X,,,,,X,X,X,0,"0,0",5,"MSR, RVV, AGR, WA P, LBL",Hills,WT
JAKOBSEN Fabio,4,PIC,Team Picnic PostNL,,,X,,X,X,,X,,,,,X,,,,,,,0,"0,0",5,"SAM, NOK, BKC, RVB, SP",Sprint,PT
VAN DEN BROEK Frank,3,PIC,Team Picnic PostNL,X,,,,,,,,,,X,X,,,,,X,X,,0,"0,0",5,"OML, DDV, RVV, AGR, WA P",GC,PT
